Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"54.00000","109.34081","0.17971"
"54.10000","109.55199","0.18004"
"54.20000","109.78235","0.18037"
"54.30000","109.98692","0.18071"
"54.40000","110.20936","0.18104"
"54.50000","110.44591","0.18138"
"54.60000","110.66159","0.18171"
"54.70000","110.86324","0.18204"
"54.80000","111.08553","0.18237"
"54.90000","111.31676","0.18271"
"55.00000","111.53779","0.18305"
"55.10000","111.75574","0.18338"
"55.20000","111.97748","0.18372"
"55.30000","112.19622","0.18405"
"55.40000","112.42052","0.18439"
"55.50000","112.62669","0.18473"
"55.60000","112.86128","0.18506"
"55.70000","113.08348","0.18540"
"55.80000","113.29964","0.18574"
"55.90000","113.51309","0.18607"
"56.00000","113.74254","0.18641"
"56.10000","113.96008","0.18674"
"56.20000","114.17684","0.18707"
"56.30000","114.36906","0.18739"
"56.40000","114.59557","0.18771"
"56.50000","114.80704","0.18804"
"56.60000","115.03716","0.18838"
"56.70000","115.24718","0.18871"
"56.80000","115.47777","0.18905"
"56.90000","115.69251","0.18937"
"57.00000","115.91393","0.18972"
"57.10000","116.13507","0.19005"
"57.20000","116.36126","0.19038"
"57.30000","116.56690","0.19070"
"57.40000","116.79507","0.19105"
"57.50000","117.00494","0.19138"
"57.60000","117.22164","0.19170"
"57.70000","117.42603","0.19202"
"57.80000","117.65287","0.19236"
"57.90000","117.86735","0.19270"
"58.00000","118.10612","0.19304"
"58.10000","118.34273","0.19339"
"58.20000","118.58868","0.19375"
"58.30000","118.79033","0.19407"
"58.40000","118.99570","0.19441"
"58.50000","119.22984","0.19477"
"58.60000","119.45734","0.19509"
"58.70000","119.70016","0.19545"
"58.80000","119.90517","0.19579"
"58.90000","120.12228","0.19612"
"59.00000","120.36014","0.19647"
"59.10000","120.58433","0.19681"
"59.20000","120.80870","0.19715"
